,disponent_inhabitants_ratio,owner_card_type_gold,no. of transactions,balance_min,balance_min_debit,balance_min_credit,amount_min_1995_debit,amount_min_1996_debit,loan_payments,loan_status,loan_id
301,0.0,0.0,130.0,900.0,2036.4,900.0,0.0,0.0,8049.0,-1,7142
302,0.0,1.0,34.0,200.0,27507.9,200.0,16300.0,100.0,6960.0,1,7154
303,0.0,0.0,16.0,300.0,30283.0,300.0,2000.0,0.0,8260.0,1,7166
304,0.0,0.0,161.0,200.0,14181.6,200.0,14.6,0.0,7223.0,1,7176
305,0.0,0.0,89.0,1000.0,11024.6,1000.0,14.6,14.6,3222.0,1,7189
306,0.0,0.0,127.0,200.0,2188.5,200.0,0.0,0.0,3222.0,1,7192
307,0.0,0.0,53.0,700.0,12758.1,700.0,14900.0,14.6,1912.0,1,7194
308,0.0,0.0,27.0,800.0,25196.6,800.0,0.0,0.0,3814.0,1,7198
309,0.0,0.0,71.0,700.0,13386.8,700.0,14.6,14.6,3154.0,1,7213
310,0.0,0.0,83.0,1000.0,17896.6,1000.0,0.0,0.0,3647.0,1,7220
311,0.413,0.0,16.0,300.0,38056.3,300.0,0.0,0.0,5493.0,1,7226
312,0.0,0.0,130.0,500.0,6005.6,500.0,30.0,0.0,5242.0,1,7227
313,0.0,0.0,124.0,1100.0,27690.7,1100.0,14.6,14.6,3217.0,1,7233
314,0.0,0.0,32.0,8897.0,20149.5,8897.0,0.0,0.0,3217.0,1,7235
315,0.0,0.0,27.0,600.0,35844.0,600.0,0.0,0.0,4579.0,1,7240
316,0.0,0.0,160.0,-517.7,-517.7,900.0,14.6,0.0,7041.0,-1,7241
317,0.0,0.0,57.0,400.0,25379.2,400.0,14.6,0.0,6032.0,1,7243
318,0.0,0.0,31.0,400.0,10145.2,400.0,0.0,30.0,2482.0,1,7246
319,0.0,0.0,78.0,1100.0,15182.9,1100.0,0.0,0.0,1445.0,1,7249
320,0.621,0.0,55.0,900.0,21421.3,900.0,0.0,0.0,3004.0,1,7259
321,0.0,0.0,13.0,500.0,30008.4,500.0,0.0,0.0,5073.0,1,7262
322,0.0,0.0,29.0,800.0,26905.2,800.0,30.0,3000.0,3745.0,1,7263
323,0.58,0.0,143.0,900.0,20241.0,900.0,14.6,14.6,6541.0,1,7271
324,0.0,0.0,43.0,1000.0,14716.8,1000.0,0.0,0.0,4399.0,1,7284
325,1.0,0.0,18.0,200.0,24404.4,200.0,8500.0,0.0,6998.0,1,7304
326,0.0,0.0,147.0,1000.0,8615.9,1000.0,14.6,14.6,4502.0,1,7305
327,0.0,0.0,107.0,1000.0,14067.2,1000.0,9000.0,14.6,5392.0,1,7308
